Archivo JSON,Instruccion,opciones,respuestas
SBP2M3L14b.json,Unscramble the sentences,,
,,"bouncy / castle / big, / There's / a ","There's a big, bouncy castle."
,,There's / an / slide / enormous,There's an enormous slide.
,,Look / at / tall / the / man,Look at the tall man.
,,There / horses / big / are,There are big horses.
,,There's / dog / small / a,There's a small dog.
SBP2M3L15a.json,Look at the pictures. Unscramble the sentences.,,
,,bouncy / and / Gilly /castle / playing / are / Gerald / a / on /,Gerald and Gilly are playing on a bouncy castle.
,,aren't / They / on / riding / the / carousel. / eating / They / cream / ice / are,They aren't riding on the carousel. They are eating ice cream.
,,enormous / at / the / Look / slide.,Look at the enormous slide.
,,Are / some / they / now / popcorn / buying?.,Are they buying some popcorn now?
SBP2M4L17b.json,Unscramble the instructions,,
,,your / Hold / balloon / the top of the bottle / . / next to,Hold your balloon next to the top of the bottle. 
,,balloon / your / . / with your hand / Hit,Hit your balloon with your hand.
,,take / . / bottles / two / Don't ,Don't take two bottles.
,,in class / shout / Don't ,Don't shout in class.
