Archivo JSON,Instruccion,opciones,respuestas
WBP2M1L2c.json,Unscramble the letters. What's the vegetable?,,
,,gacabeb,cabbage
,,colcirob,broccoli
,,nonio,onion
,,reeng nabes,green beans
,,ottapose,potatoes
,,ceettlu,lettuce
WBP2M1L3c.json,"Unscramble the words using a code. Code: use the alphabet backwards (Z=A, A=Z)",,
,,YOVMWVI,blender
,,KVKKVI,pepper
,,HGLEV,stove
,,KLG,pot
,,HZOG,salt
,,XSVU,chef
WBP2M1L5b.json,Unscramble the sentences,,
,,good you for are Carrots,Carrots are good for you.
,,donuts I like.,I like donuts
,,bad for your Sugar is teeth,Sugar is bad for your teeth.
,,vegetables Eat every day and fruit,Eat fruits and vegetables every day.
WBP2M2L7a.json,Unscramble the sentences.,,
,,like / We / sneakers. / these,We like these sneakers.
,,pants. / I / need / don't / new,I don't need new pants.
,,bow / tie / you / Do / want / a / ?,Do you want a bow tie? 
,,like / you / shirt / this / Do / ?,Do you like this shirt?
,,find / I / can't / my / barrettes / new / ! ,I can't find my new barrettes!
WBP2M3L13a.json,Unscramble the instructions.,,
,,life jacket / your / leave / Don't / on the ground.,Don't leave your life jacket on the ground.
,,tent / your / in / Put it. ,Put it in your tent.
,,trash / in the ocean / throw / Don't ,Don't throw trash in the ocean.
,,in / Put it / the trash can.,Put it in the trash can.
,,by the fire / Don't / the food / leave. ,Don't leave food by the fire.
,,the sausages / Put / the food box / in,Put the sausages in the food box.
WBP2M3L13b.json,Unscramble the verbs,,
,,hwort,throw
,,veela,leave
,,upt,put
,,eancl,clean
WBP2M4L19a.json,Unscramble the questions,,
,,people / How many / in your family / there / are /?,How many people are there in your family?
,,are / How many / there / children / in the class? ,How many children are there in the class?
,,boys / many / there / How / are?,How many boys are there? 
,,many / girls / are / How / there / ? ,How many girls are there?
,,there / many / How / in the bookcase / books / ? / are,How many books are there in the bookcase? 
