Archivo JSON,Instruccion,Tipo,header_img,Pregunta,Opcion 1,Opcion 2,Opcion 3,Opcion 4,Opcion Correcta
WBP1M1L1a.json,"Choose the correct question
",,,,,,,,
,,dropdown,,___,What your name?,What's your name?,,,1
WBP1M3L11a.json,Choose that or those.,,,,,,,,
,,dropdown,,What are ___ ?,that,those,,,1
,,dropdown,,What's ___ ?,that,those,,,0
,,dropdown,,What's ___ ?,that,those,,,0
,,dropdown,,What are ___  ?,that,those,,,1
,,dropdown,,What's ___ ?,that,those,,,0
WBP1M3L11b.json,Choose the correct word.,,,,,,,,
,,dropdown,,___ is a zebra.,This,That,,,0
,,dropdown,,___ are lions.,These,Those,,,0
,,dropdown,,___ are zebras.,These ,Those,,,1
,,dropdown,,___ is a zebra.,This,That,,,1
,,dropdown,,___ a gorilla,This,That,,,1
,,dropdown,,___ an elephant.,This,That's,,,1
WBP1M5L25a.json,Choose and write the correct words.,,,,,,,,
,,dropdown,,I'm Lisa. These are __ paints.,my,their,,,0
,,text,,__,,,,,my
,,dropdown,,This is Ana. These are __ crayons.,his,her,,,1
,,text,,__,,,,,her
,,dropdown,,We love projects. This is a picture of __ house.,Their,Its,,,0
,,text,,__,,,,,Their
,,dropdown,,Jimmy! __ writing is very good!,His,Your,,,1
,,text,,__,,,,,Your
