Archivo JSON,Instruccion,opciones,respuestas
SBP5M1L4a.json,Connect the two parts of the sentences ,,
,,She went to the mall,because she wanted a dvd
,,She got good grades,because she worked hard.
,,She couldn't go to school yesterday,because she was sick
,,She loves visiting her grandparents,because they have a large yard
,,She ate three sandwiches,because she was very hungry
,,,
SBP5M1L4a.json,Read and match,He has a fever.,He should drink a lot of water.
,,He has a sore throat.,He should drink lemon juice and honey.
,,He has a broken arm.,His mom should take him to the hospital.
,,He has a stomachache.,He shouldn't eat so much chocolate.
SBP5M4L19a.json,Read and match,,
,,We use the past simple to talk about,experiences at some time in our lives up to now.
,,We use the present perfect to talk about,finished actions that happened in the past. 
SBP5M5L24a.json,Match the questions and answers,,
,,And what was Pele doing?,He was barking at the bottom of the tree.
,,What did you do? ,I put his leash on and tied him to another tree.
