Archivo JSON,Instruccion,opciones,respuestas
WBP5M1L1a.json,Match the words with the pictures. Use your dictionary if necessary.,,
,,check in desk,https://potenciamx.s3.amazonaws.com/images/check_in_desk.png
,,hand luggage,https://potenciamx.s3.amazonaws.com/images/hand_luggage.png
,,customs officer,https://potenciamx.s3.amazonaws.com/images/customs_officer.png
,,boarding pass,https://potenciamx.s3.amazonaws.com/images/boarding_pass.png
,,carousel / conveyor belt,https://potenciamx.s3.amazonaws.com/images/conveyor_belt.png
,,pilot,https://potenciamx.s3.amazonaws.com/images/pilot.png
,,stewardess,https://potenciamx.s3.amazonaws.com/images/Stewardess.png
WBP5M1L5a.json,Read these facts about George Washington and match the titles to the texts.,,
,,George Washington began school when he was six years old and he left school when he was just 15. Why didn't he go to college? Because his mother could not afford the college fees.,school days
,,"Washington was nearly 2 meters tall. He was taller than most men of his time, and one of the tallest presidents of the United States (president Lincoln was the tallest).",Height
,,"What were some of the things he liked eating? Cream of peanut soup, mashed sweet potatoes with coconut, and string beans with mushrooms.",Favorite foods
,,Washington suffered from toothache all his adult life. Finally he had all his teeth pulled out and he wore false teeth from then on. They were made of ivory.,Health
,,"Washington DC is named after him, but he never lived there. He helped plan the nation's new capital, but while he was president, New York City and later Philadelphia were the capitals. ",capitals
WBP5M2L7a.json,Match the words to the pictures,,
,,pump,https://potenciamx.s3.amazonaws.com/images/pump.png
,,goggles,https://potenciamx.s3.amazonaws.com/images/goggles.png
,,cap,https://potenciamx.s3.amazonaws.com/images/cap.png
,,racket,https://potenciamx.s3.amazonaws.com/images/racket.png
,,helmet,https://potenciamx.s3.amazonaws.com/images/helmet.png
,,swim suit,https://potenciamx.s3.amazonaws.com/images/swim_suit.png
,,bat,https://potenciamx.s3.amazonaws.com/images/bat.png
,,net,https://potenciamx.s3.amazonaws.com/images/net.jpg
WBP5M2L8a.json,Label the first aid box. ,,
,,https://potenciamx.s3.amazonaws.com/images/antiseptic.png,antiseptic
,,https://potenciamx.s3.amazonaws.com/images/bandages.png,bandages
,,https://potenciamx.s3.amazonaws.com/images/tweezers.png,tweezers
,,https://potenciamx.s3.amazonaws.com/images/scissors.png,scissors
,,https://potenciamx.s3.amazonaws.com/images/plasters.png,sticking plaster
,,https://potenciamx.s3.amazonaws.com/images/ice_pack.png,an ice pack
WBP5M2L8b.json,Label the injuries,,
,,sting,https://potenciamx.s3.amazonaws.com/images/sting.jpg
,,bite,https://potenciamx.s3.amazonaws.com/images/bite.png
,,burn,https://potenciamx.s3.amazonaws.com/images/burn.png
,,splinter,https://potenciamx.s3.amazonaws.com/images/splinter.png
,,cut,https://potenciamx.s3.amazonaws.com/images/cut.jpg
,,bruise,https://potenciamx.s3.amazonaws.com/images/bruise.jpg
WBP5M3L14a.json,Label the pictures,,
,,sea shells,https://potenciamx.s3.amazonaws.com/images/sea_shells.png
,,snorkel,https://potenciamx.s3.amazonaws.com/images/snorkel.png
,,bathing suit,https://potenciamx.s3.amazonaws.com/images/bathing_suit_.png
,,sunscreen,https://potenciamx.s3.amazonaws.com/images/sunscreen.png
,,fins,https://potenciamx.s3.amazonaws.com/images/fins.png
,,sandals,https://potenciamx.s3.amazonaws.com/images/sandals.png
,,shovel,https://potenciamx.s3.amazonaws.com/images/shovel.png
WBP5M4L20b.json,Match the main ideas to the explanations,,
,,You shouldn't talk in a self-satisfied way about your possessions or your achievements. People don't like listening to that.,Don't boast.
,,You should think before you speak. Often it's better to say nothing than to say something that is going to hurt your friend. ,Be aware of your friend's feelings
,,"When you lend things, you would like your friends to give them back to you. Do the same for them.",Return things you've borrowed
