Archivo JSON,Instruccion,opciones,respuestas
SBP5M2L6c.json,Unscramble the questions,,
,,you / Would / like / television / to / watch / ?,Would you like to watch television?
,,have / you like / Would / to / soda / a / ?,Would you like to have a soda?
,,a game / Would / like to / you / play / ? ,Would you like to play a game?
SBP5M3L13b.json,Unscramble the questions,,
,,you / written / Have / text message / ever / a /?,Have you ever written a text message?
,,by ship / ever / you / Have / traveled?,Have you ever traveled by ship?
,,with dolphins / Have / ever / swum / you?,Have you ever swum with dolphins?
SBP5M3L14a.json,Unscramble the sentences,,
,,just / He's / the towels / packed,He's just packed the towels
,,found / the snorkels / just / He's ,He's just found the snorkels.
,,haven't / changed into / yet / We / our shorts ,We haven't changed into our shorts yet.
,,sunblock / hasn't / He / yet / put on,He hasn't put on sunblock yet.
