Archivo JSON,Instruccion,Tipo,header_img,Pregunta,Opcion 1,Opcion 2,Opcion 3,Opcion 4,Opcion Correcta
WBS3M1L2a.json,Choose the correct option,,,,,,,,
,,dropdown,,Take out containers __,Can be recycled,Cannot be recycled,,,1
,,dropdown,,plastic utensils __,Can be recycled,Cannot be recycled,,,1
,,dropdown,,Plastic stretch wrap __,Can be recycled,Cannot be recycled,,,1
,,dropdown,,Soft drink and beer bottles __,Can be recycled,Cannot be recycled,,,0
,,dropdown,,"Tin, aluminum and steel cans __",Can be recycled,Cannot be recycled,,,0
,,dropdown,,"Office paper, newspaper and cardboard __",Can be recycled,Cannot be recycled,,,0
,,dropdown,,Polystyrene foam cups or containers __,Can be recycled,Cannot be recycled,,,1
,,dropdown,,"phonebooks, magazines and mail __",Can be recycled,Cannot be recycled,,,0
,,dropdown,,Plastic shopping bags __,Can be recycled,Cannot be recycled,,,1
,,dropdown,,Cereal / snack cardboard boxes __,Can be recycled,Cannot be recycled,,,0
,,dropdown,,Plastic bottles __,Can be recycled,Cannot be recycled,,,0
WBS3M1L3a.json,Read the words and choose the option that describes the type of words they are.,,,,,,,,
,,dropdown,,resources __,Noun,Adjective,verb,,0
,,dropdown,,consumption __,Noun,Adjective,verb,,0
,,dropdown,,efficient __,Noun,Adjective,verb,,1
,,dropdown,,conservation __,Noun,Adjective,verb,,0
,,dropdown,,save __,Noun,Adjective,verb,,2
,,dropdown,,electricity bill __,Noun,Adjective,verb,,0
,,dropdown,,spend __,Noun,Adjective,verb,,2
,,dropdown,,renew __,Noun,Adjective,verb,,2
WBS3M1L3b.json,Read the sentences and choose the correct answer.,,,,,,,,
,,dropdown,,What's the past tense of the verb leak? __,Leaked,leak,,,0
,,dropdown,,__ is the noun of the verb 'pollute',Pollutment,pollution,,,1
,,dropdown,,What's the adjective of the verb 'renew'? __,renewable,renable,,,0
,,dropdown,,__ is not the adjective of the noun 'resources',resourful,resourceful,,,0
,,dropdown,,Is CONVERSATIONIST an adjective or a noun?,adjective,noun,,,1
,,dropdown,,We say __ to refer to dirty water.,polluted water,pollut water,,,0
