Archivo JSON,Instruccion,opciones,respuestas
WBP4M3L13a.json,Match the words with the pictures.,,
,,bus,https://potenciamx.s3.amazonaws.com/images/bus.jpg
,,train,https://potenciamx.s3.amazonaws.com/images/train.jpg
,,car,https://potenciamx.s3.amazonaws.com/images/car.jpg
,,helicopter,https://potenciamx.s3.amazonaws.com/images/helicopter.jpg
,,tram,https://potenciamx.s3.amazonaws.com/images/tram.jpg
,,skateboard ,https://potenciamx.s3.amazonaws.com/images/skateboard.jpg
,,airplane,https://potenciamx.s3.amazonaws.com/images/airplane.jpg
,,ship,https://potenciamx.s3.amazonaws.com/images/ship.jpeg
WBP4M4L18a.json,Read and match,,
,,Cafeteria,e) a place where you can buy a coffe or a soda or have a snack
,,mall,g) a place with a lot of stores to shop in
,,department store,a) a big store where people buy clothes and things for the house
,,Gym,f) a place where you can do exercise
,,Book store,d) a store where you can buy books
,,Fire station,b) where firefighters wait to be called to fight fires.
,,Post office,h) where you can mail letters and parcels and buy stamps.
,,Library,c) where you can borrow books or look at reference books
