Archivo JSON,Instruccion,opciones,respuestas
SBP6M1L3b.json,Unscramble the questions,,
,,program / What / watch / they / did / ? ,What program did they watch?
,,the / enjoyed / Who / program / ?,Who enjoyed the program?
SBP6M2L6c.json,Unscramble the sentences about the party.,,
,,/ need / We'll / . / paper cups /,We'll need paper cups.
,,/ some / make / lemonade / . / They'll /,They'll make some lemonade
,,/ favorite music / . / I'll / my / bring /,I'll bring my favorite music.
,,"/ I'll / some / take / . / photos, too / ","I'll take some photos, too."
SBP6M2L9a.json,Unscramble the sentences adding will to make questions about the future.,,
,,we / have / the technology to stop asteroid?,Will we have the technology to stop asteroid?
,,scientists / find / dinosaur DNA in their bones?,Will scientists find dinosaur DNA in their bones?
,,When / you / finish / your dinosaur project?,When will you finish your 
,,your project / have / a lot of pictures?,Will your project have a lot of pictures?
SBP6M4L17b.json,Unscramble the questions,,
,,happens / What / you / if / in the sun a lot / are / ?,What happens if you are in the sun a lot?
,,get a rash / he / Does / eats / if / he / seafood?,Does he get a rash if he eats seafood?
,,when / happens / What / arrive / you / late at school?,What happens when you arrive late at school?
,,study / you / Do / if / have / you / next day / a quiz?,Do you study if you have a quiz next day? 
SBP6M4L18b.json,Unscramble the main clauses,,
,,"When you play with a dog, / ears or tail / its / pull / don't","When you play with a dog, don't pull its ears or tail."
,,When you meet a strange cat / try to / you / shouldn't / it / touch,"When you meet a strange cat, you shouldn't try to touch it. "
,,"When you pick up a rabbit, / lift / don't / by it's ears / it","When you pick up a rabbit, don't lift it by it's ears."
,,if a cat is with her kittens / get / you / mustn't / too close,"If a cat is with her kittens, you mustn't get too close."
